code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
020722,国寿安保数字经济股票发起式A,2026-04-27,2.7227,2.7227,1.73,2.3,25.91,57.99,77.16,108.59
020723,国寿安保数字经济股票发起式C,2026-04-27,2.6957,2.6957,1.73,2.29,25.86,57.82,76.73,107.57
001877,宝盈国家安全沪港深股票A,2026-04-27,3.4085,3.4085,1.48,2.81,26.77,22.9,66.77,165.09
013613,宝盈国家安全沪港深股票C,2026-04-27,3.3182,3.3182,1.47,2.79,26.7,22.72,66.28,163.64
006265,红土创新新科技股票A,2026-04-27,8.2112,8.2612,0.71,4.82,24.41,41.59,64.36,217.37
008382,融通产业趋势股票,2026-04-27,1.9971,2.0521,0.59,4.56,38.0,43.32,61.64,200.18
501201,红土创新科技创新股票(LOF)A,2026-04-27,2.3576,2.3576,0.68,4.2,23.99,40.14,60.83,149.46
020775,国寿安保产业升级股票发起式A,2026-04-27,2.1155,2.1155,2.13,4.25,19.13,22.92,58.32,123.55
020774,国寿安保产业升级股票发起式C,2026-04-27,2.0945,2.0945,2.13,4.24,19.08,22.77,57.92,122.46
005328,前海开源价值策略股票,2026-04-27,1.2766,1.2766,-0.45,-1.34,5.36,14.64,49.96,98.01
008009,华商高端装备制造股票A,2026-04-27,5.4733,5.4733,1.14,2.34,14.2,26.72,47.57,175.86
001040,新华策略精选股票A,2026-04-27,3.1699,3.6079,0.44,1.3,21.36,20.85,47.44,166.62
006502,财通集成电路产业股票A,2026-04-27,5.6947,5.6947,2.19,3.48,32.77,35.41,47.32,254.24
025415,新华策略精选股票C,2026-04-27,3.1635,3.1635,0.44,1.29,21.32,20.73,47.15,0.0
016050,华商高端装备制造股票C,2026-04-27,5.3458,5.3458,1.14,2.33,14.14,26.48,47.08,174.1
006503,财通集成电路产业股票C,2026-04-27,5.3676,5.3676,2.19,3.46,32.69,35.15,46.74,251.42
014191,广发先进制造股票发起式A,2026-04-27,2.2567,2.2567,0.86,1.53,23.4,17.79,46.51,166.28
014192,广发先进制造股票发起式C,2026-04-27,2.2209,2.2209,0.85,1.52,23.37,17.68,46.22,165.37
000411,景顺长城优质成长股票A,2026-04-27,4.047,4.6,1.45,1.84,25.06,27.34,43.82,180.65
021500,景顺长城优质成长股票C,2026-04-27,4.018,4.018,1.44,1.82,25.02,27.23,43.55,179.42
001416,嘉实事件驱动股票,2026-04-27,1.405,1.405,1.08,2.33,27.26,26.01,43.22,109.08
009891,融通产业趋势臻选股票A,2026-04-27,2.9774,2.9774,0.32,3.91,33.43,29.82,43.15,158.41
018495,融通产业趋势臻选股票C,2026-04-27,2.8898,2.8898,0.32,3.89,33.36,29.64,42.73,156.89
001105,信澳转型创新股票A,2026-04-27,2.08,2.08,2.11,4.63,28.79,26.37,41.3,136.9
001521,国寿安保成长优选股票A,2026-04-27,2.19,2.596,2.24,5.44,23.94,23.45,41.02,111.39
015608,信澳转型创新股票C,2026-04-27,2.033,2.033,2.16,4.63,28.75,26.27,40.98,135.57
001956,国联安科技动力,2026-04-27,3.5412,3.5412,0.9,2.49,32.52,33.92,40.88,192.52
021875,路博迈资源精选股票发起A,2026-04-27,2.2727,2.2727,0.18,-0.23,11.37,5.47,40.88,150.79
017916,国寿安保成长优选股票C,2026-04-27,1.452,1.452,2.18,5.37,23.79,23.26,40.7,110.43
540010,汇丰晋信科技先锋股票,2026-04-27,4.9406,4.9406,1.33,-0.73,19.96,22.01,40.47,172.0
021876,路博迈资源精选股票发起C,2026-04-27,2.2458,2.2458,0.18,-0.24,11.32,5.32,40.41,149.2
005777,广发科技动力股票,2026-04-27,2.3861,2.3861,0.79,3.16,32.78,21.62,38.75,90.77
