code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
016664,天弘全球高端制造混合(QDII)A,2026-05-07,3.0215,3.0215,2.42,9.87,40.78,47.43,70.31,168.72
016665,天弘全球高端制造混合(QDII)C,2026-05-07,2.9942,2.9942,2.42,9.86,40.74,47.29,70.04,167.82
457001,国富亚洲机会股票(QDII)A,2026-05-07,2.9586,3.1256,1.92,12.94,45.02,44.57,69.92,143.79
021662,国富亚洲机会股票(QDII)C,2026-05-07,2.9197,2.9197,1.92,12.93,44.97,44.34,69.49,142.64
539002,建信新兴市场混合(QDII)A,2026-05-07,2.32,2.32,-0.94,11.38,38.01,41.38,65.95,151.35
018147,建信新兴市场混合(QDII)C,2026-05-07,2.285,2.285,-0.95,11.35,37.98,41.14,65.7,150.27
002891,华夏移动互联混合人民币,2026-05-07,2.668,2.668,-1.59,6.68,35.36,42.37,63.18,120.5
006373,国富全球科技互联混合(QDII)人民币A,2026-05-07,6.7923,6.7923,-0.68,7.54,31.32,32.01,58.5,101.46
021842,国富全球科技互联混合(QDII)人民币C,2026-05-07,6.7464,6.7464,-0.68,7.52,31.27,31.86,58.17,100.6
012920,易方达全球成长精选混合(QDII)人民币A,2026-05-07,3.8526,3.8526,0.32,6.16,32.74,41.88,56.13,179.44
012922,易方达全球成长精选混合(QDII)人民币C,2026-05-07,3.7814,3.7814,0.32,6.16,32.69,41.72,55.73,178.09
017730,嘉实全球产业升级股票发起式(QDII)A,2026-05-07,3.7926,3.7926,-0.25,5.01,35.82,37.23,50.89,139.4
017731,嘉实全球产业升级股票发起式(QDII)C,2026-05-07,3.7203,3.7203,-0.25,4.99,35.75,37.03,50.44,137.95
019155,易方达全球配置混合(QDII)A(人民币),2026-05-07,1.9356,1.9356,0.38,7.77,24.9,35.08,48.82,87.52
019156,易方达全球配置混合(QDII)C(人民币),2026-05-07,1.9096,1.9096,0.38,7.74,24.83,34.88,48.41,86.5
005698,华夏全球科技先锋混合(QDII)A(人民币),2026-05-07,3.1936,3.1936,-1.02,5.77,29.23,34.93,48.38,93.55
024239,华夏全球科技先锋混合(QDII)C,2026-05-07,3.1575,3.1575,-1.03,5.69,29.09,34.48,47.66,0.0
008253,华宝致远混合(QDII)A,2026-05-08,1.9362,1.9362,4.88,12.27,27.89,32.09,43.89,102.51
008254,华宝致远混合(QDII)C,2026-05-08,1.8871,1.8871,4.88,12.26,27.85,31.97,43.6,101.7
018229,易方达全球优质企业混合(QDII)A(人民币份额),2026-05-07,2.1066,2.1066,0.83,6.58,26.15,29.46,41.65,97.86
