code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
025400,南方昌元可转债债券B,2026-04-27,2.2292,2.2492,1.62,1.18,9.61,-3.93,18.37,0.0
006030,南方昌元可转债债券A,2026-04-27,2.2302,2.2502,1.62,1.18,9.61,-3.94,18.36,59.79
006031,南方昌元可转债债券C,2026-04-27,2.1818,2.1818,1.62,1.18,9.57,-4.05,18.07,58.99
025464,国泰可转债债券D,2026-04-27,1.8855,1.8855,2.42,1.16,15.34,0.51,16.91,0.0
005246,国泰可转债债券A,2026-04-27,1.8854,1.8854,2.41,1.15,15.34,0.5,16.9,33.46
006254,长城久悦债券A,2026-04-27,1.3979,1.3979,0.76,0.79,6.57,-0.14,15.15,33.6
015723,长城久悦债券C,2026-04-27,1.3781,1.3781,0.75,0.78,6.53,-0.24,14.92,33.07
050019,博时转债增强债券A,2026-04-27,2.5409,2.5459,0.11,-0.49,8.02,-3.13,14.47,39.62
023165,博时转债增强债券E,2026-04-27,2.5405,2.5405,0.11,-0.49,8.02,-3.14,14.47,39.61
050119,博时转债增强债券C,2026-04-27,2.4233,2.4273,0.11,-0.49,7.99,-3.23,14.25,39.06
003382,民生加银鑫享债券A,2026-04-27,1.346,1.354,0.37,-0.14,2.85,-2.46,13.96,30.9
003383,民生加银鑫享债券C,2026-04-27,1.3044,1.3124,0.36,-0.15,2.81,-2.55,13.73,30.37
007955,民生加银鑫享债券D,2026-04-27,1.1398,1.1398,0.36,-0.15,2.81,-2.56,13.73,30.37
217018,招商安瑞进取债券A,2026-04-27,2.6637,2.6637,0.68,0.2,5.33,2.9,13.55,41.46
019500,招商安瑞进取债券C,2026-04-27,2.6494,2.6494,0.68,0.19,5.3,2.82,13.38,41.05
006738,工银瑞信添慧债券A,2026-04-27,1.4477,1.4477,-0.33,-0.26,1.76,1.18,13.37,27.27
080003,长盛积极配置债券A,2026-04-27,1.4497,2.0277,0.06,0.55,8.42,1.88,13.26,21.3
025163,长盛积极配置债券C,2026-04-27,1.4487,1.4487,0.06,0.54,8.41,1.86,13.19,0.0
006739,工银瑞信添慧债券C,2026-04-27,1.4082,1.4082,-0.33,-0.28,1.73,1.08,13.14,26.76
202105,南方广利回报债券A/B,2026-04-27,2.1387,2.4707,1.2,1.39,7.75,0.76,12.91,37.6
240012,华宝增强收益债券A,2026-04-27,1.9046,2.2846,0.64,0.43,7.9,-0.59,12.84,39.4
202107,南方广利回报债券C,2026-04-27,2.1783,2.3953,1.2,1.38,7.72,0.67,12.68,37.04
