code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
008326,东财通信A,2026-04-27,4.123,4.123,1.13,4.48,30.93,40.45,58.27,249.64
008327,东财通信C,2026-04-27,4.0588,4.0588,1.13,4.47,30.9,40.37,58.07,248.78
024194,永赢国证商用卫星通信产业ETF发起联接A,2026-04-27,1.6907,1.6907,0.84,-3.21,13.36,-8.11,42.6,0.0
024195,永赢国证商用卫星通信产业ETF发起联接C,2026-04-27,1.6875,1.6875,0.84,-3.21,13.34,-8.17,42.43,0.0
020899,天弘中证全指通信设备指数发起A,2026-04-27,3.4283,3.4283,0.97,1.29,25.86,26.84,40.03,231.27
021933,富国中证通信设备主题ETF发起式联接A,2026-04-27,3.3723,3.3723,0.15,-1.41,22.68,22.05,39.91,193.86
020900,天弘中证全指通信设备指数发起C,2026-04-27,3.4148,3.4148,0.96,1.28,25.84,26.78,39.89,230.6
021934,富国中证通信设备主题ETF发起式联接C,2026-04-27,3.361,3.361,0.15,-1.41,22.66,21.99,39.77,193.31
021988,银河中证通信设备主题指数发起式A,2026-04-27,2.616,2.616,0.03,-1.6,22.32,21.8,39.36,192.49
021989,银河中证通信设备主题指数发起式C,2026-04-27,2.6044,2.6044,0.03,-1.61,22.28,21.71,39.16,191.61
020691,博时中证全指通信设备指数发起式A,2026-04-27,3.2907,3.2907,0.99,1.16,25.32,25.59,39.0,225.81
020692,博时中证全指通信设备指数发起式C,2026-04-27,3.2785,3.2785,0.99,1.15,25.3,25.53,38.87,225.18
007817,国泰中证全指通信设备ETF联接A,2026-04-27,3.7894,3.7894,0.96,1.21,25.29,25.76,37.89,220.48
019071,嘉实国证通信ETF发起联接A,2026-04-27,2.7622,2.7622,0.96,0.79,20.81,22.68,37.73,150.4
007818,国泰中证全指通信设备ETF联接C,2026-04-27,3.7111,3.7111,0.96,1.2,25.26,25.67,37.68,219.54
022500,国泰中证全指通信设备ETF联接E,2026-04-27,3.7735,3.7735,0.96,1.2,25.26,25.67,37.68,219.54
019072,嘉实国证通信ETF发起联接C,2026-04-27,2.7444,2.7444,0.96,0.79,20.79,22.6,37.56,149.76
025652,大成创业板人工智能ETF发起式联接A,2026-04-27,1.4841,1.4841,-0.6,-2.32,17.81,12.08,36.71,0.0
025653,大成创业板人工智能ETF发起式联接C,2026-04-27,1.4817,1.4817,-0.6,-2.33,17.78,12.0,36.49,0.0
019236,广发国证通信ETF发起式联接A,2026-04-27,2.7441,2.8308,0.96,0.76,20.93,22.44,36.39,148.35
019237,广发国证通信ETF发起式联接C,2026-04-27,2.7237,2.8098,0.95,0.75,20.9,22.35,36.19,147.62
025505,华夏创业板人工智能ETF发起式联接A,2026-04-27,1.4097,1.4097,-0.7,-2.62,17.41,11.83,35.69,0.0
023144,汇添富中证油气资源ETF发起式联接A,2026-04-27,1.5142,1.5142,0.02,0.06,-1.85,11.42,35.67,0.0
023145,汇添富中证油气资源ETF发起式联接C,2026-04-27,1.5115,1.5115,0.02,0.06,-1.87,11.37,35.55,0.0
025506,华夏创业板人工智能ETF发起式联接C,2026-04-27,1.408,1.408,-0.7,-2.62,17.39,11.77,35.55,0.0
024478,鑫元创业AI指数发起式A,2026-04-27,1.4924,1.4924,-0.64,-2.51,18.06,12.14,35.38,0.0
024479,鑫元创业AI指数发起式C,2026-04-27,1.4893,1.4893,-0.64,-2.53,18.03,12.05,35.18,0.0
023407,华宝创业板人工智能ETF发起式联接A,2026-04-27,2.2077,2.2077,-0.69,-2.54,17.67,12.01,34.73,169.69
023408,华宝创业板人工智能ETF发起式联接C,2026-04-27,2.1999,2.1999,-0.69,-2.55,17.64,11.93,34.53,168.87
024662,富国创业板人工智能ETF发起式联接A,2026-04-27,1.9552,1.9552,-0.7,-2.68,17.83,11.79,34.09,0.0
024663,富国创业板人工智能ETF发起式联接C,2026-04-27,1.9523,1.9523,-0.69,-2.68,17.81,11.74,33.96,0.0
021855,博时中证油气资源ETF发起式联接A,2026-04-27,1.3573,1.3573,-0.01,0.03,-2.04,9.34,33.13,52.85
021856,博时中证油气资源ETF发起式联接C,2026-04-27,1.353,1.353,-0.01,0.02,-2.06,9.28,33.0,52.54
008086,华夏中证5G通信主题ETF联接A,2026-04-27,2.8732,2.8732,1.68,3.12,26.66,25.09,31.64,187.15
023765,华夏中证5G通信主题ETF联接D,2026-04-27,2.8221,2.8221,1.69,3.12,26.64,25.03,31.51,186.57
008087,华夏中证5G通信主题ETF联接C,2026-04-27,2.8189,2.8189,1.68,3.11,26.63,25.0,31.44,186.27
023638,国泰A股电网设备ETF联接A,2026-04-27,2.0009,2.0009,-0.38,0.17,6.0,9.1,31.12,113.52
023639,国泰A股电网设备ETF联接C,2026-04-27,1.9966,1.9966,-0.38,0.17,5.98,9.05,30.99,113.11
021619,天弘石油天然气指数A,2026-04-27,1.3749,1.3749,-0.06,0.22,-0.55,7.62,30.86,49.4
021977,中欧中证细分化工产业主题指数发起A,2026-04-27,1.8156,1.8156,0.51,3.08,4.89,2.43,30.83,64.1
021620,天弘石油天然气指数C,2026-04-27,1.37,1.37,-0.06,0.22,-0.57,7.57,30.74,49.09
017471,国泰中证机床ETF发起联接A,2026-04-27,2.0262,2.0262,0.88,1.7,13.33,9.96,30.73,82.94
023832,华泰柏瑞中证油气产业ETF发起式联接A,2026-04-27,1.4561,1.4561,-0.11,0.17,-0.33,8.2,30.73,44.18
021978,中欧中证细分化工产业主题指数发起C,2026-04-27,1.809,1.809,0.51,3.08,4.86,2.36,30.66,63.68
008889,银华中证5G通信主题ETF联接A,2026-04-27,2.2076,2.2076,1.62,3.02,26.53,24.33,30.63,183.03
023833,华泰柏瑞中证油气产业ETF发起式联接C,2026-04-27,1.4528,1.4528,-0.1,0.17,-0.34,8.15,30.61,43.88
017472,国泰中证机床ETF发起联接C,2026-04-27,2.0131,2.0131,0.88,1.7,13.31,9.91,30.6,82.56
010524,银华中证5G通信主题ETF联接C,2026-04-27,2.1735,2.1735,1.62,3.01,26.5,24.24,30.45,182.2
017573,华夏中证机床ETF发起式联接A,2026-04-27,2.0131,2.0131,0.88,1.7,13.58,9.89,29.7,81.8
013942,华宝中证稀有金属指数增强发起A,2026-04-27,1.2555,1.2555,-0.4,-0.9,8.36,1.19,29.67,123.12
017574,华夏中证机床ETF发起式联接C,2026-04-27,1.9954,1.9954,0.88,1.69,13.55,9.81,29.52,81.27
013527,嘉实中证细分化工产业主题ETF发起联接A,2026-04-27,1.1181,1.1181,0.52,3.19,4.97,2.06,29.5,64.09
013943,华宝中证稀有金属指数增强发起C,2026-04-27,1.2392,1.2392,-0.39,-0.9,8.34,1.12,29.47,122.44
