序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,022364,永赢科技智选混合发起A,2026-04-27,4.8518,4.8518,1.81,4.24,27.03,25.03,32.13,345.69,,,28.37,385.18,338.3232,0.15%
2,022365,永赢科技智选混合发起C,2026-04-27,4.8076,4.8076,1.8,4.23,26.96,24.84,31.73,342.85,,,28.12,380.76,335.5499,0.00%
3,016370,信澳业绩驱动混合A,2026-04-27,2.607,2.607,0.12,1.27,30.45,41.39,55.58,326.89,377.21,243.84,47.64,160.7,325.6327,0.15%
4,016371,信澳业绩驱动混合C,2026-04-27,2.5499,2.5499,0.12,1.26,30.38,41.19,55.11,324.35,371.51,237.74,47.36,154.99,323.1497,0.00%
5,004320,前海开源沪港深乐享生活,2026-04-27,5.5573,5.5573,0.86,4.49,39.61,55.44,101.31,324.25,392.19,203.54,62.58,455.73,324.7401,0.15%
6,018956,中航机遇领航混合发起A,2026-04-27,4.6781,4.6781,0.2,-2.36,25.66,30.93,43.45,308.71,309.03,,29.66,367.81,313.4423,0.15%
7,008528,华泰柏瑞质量成长A,2026-04-27,2.8712,2.8712,0.78,2.8,29.15,53.04,72.68,308.13,271.44,176.26,61.47,187.12,310.5233,0.15%
8,011452,华泰柏瑞质量成长C,2026-04-27,2.8151,2.8151,0.77,2.79,29.11,52.81,72.24,306.34,268.76,173.18,61.17,53.3,308.6963,0.00%
9,018957,中航机遇领航混合发起C,2026-04-27,4.6017,4.6017,0.2,-2.37,25.6,30.74,43.02,306.26,304.12,,29.41,360.17,310.9762,0.00%
10,010415,华泰柏瑞质量精选混合A,2026-04-27,2.0015,2.0015,0.68,3.22,28.98,50.99,65.78,301.34,257.16,189.9,58.43,100.15,303.9354,0.15%
11,010416,华泰柏瑞质量精选混合C,2026-04-27,1.9531,1.9531,0.68,3.2,28.92,50.96,65.55,299.73,253.95,185.83,58.34,95.31,302.3692,0.00%
12,011369,华商均衡成长混合A,2026-04-27,3.1965,3.1965,0.27,1.34,27.66,51.42,79.07,291.92,333.36,228.05,62.32,219.65,290.0073,0.15%
13,011370,华商均衡成长混合C,2026-04-27,3.1014,3.1014,0.27,1.33,27.59,51.2,78.54,289.62,328.25,222.26,62.01,210.14,287.7235,0.00%
14,001412,德邦鑫星价值灵活配置混合A,2026-04-27,5.1369,5.2749,0.67,-0.21,26.42,31.39,41.04,284.44,323.1,286.52,34.39,484.18,282.9792,0.15%
15,002112,德邦鑫星价值灵活配置混合C,2026-04-27,4.9353,5.0833,0.67,-0.21,26.41,31.35,40.97,284.07,322.25,285.39,34.35,475.03,282.6111,0.00%
16,001437,易方达瑞享混合I,2026-04-27,10.3339,10.3339,0.93,0.66,31.83,48.52,60.45,283.58,288.05,197.81,51.32,933.39,287.72,0.06%
17,001438,易方达瑞享混合E,2026-04-27,8.3594,8.3594,0.92,0.66,31.81,48.45,60.3,282.81,286.47,196.12,51.23,735.94,286.9555,0.00%
18,002692,富国创新科技混合A,2026-04-27,4.364,4.364,1.37,4.93,36.76,46.25,59.04,281.14,255.37,186.35,52.75,336.4,282.1366,0.15%
19,001753,红土创新新兴产业混合A,2026-04-27,4.256,4.256,-0.02,4.49,29.87,43.06,57.69,280.0,323.9,188.74,55.61,325.6,280.3396,0.15%
20,011891,易方达先锋成长混合A,2026-04-27,3.5614,3.5614,1.29,1.76,31.71,50.5,64.56,279.76,287.99,192.06,55.13,256.14,283.7302,0.15%
21,011120,富国创新科技混合C,2026-04-27,4.227,4.227,1.37,4.91,36.66,46.01,58.55,278.76,251.08,181.24,52.43,68.94,279.7844,0.00%
22,011892,易方达先锋成长混合C,2026-04-27,3.4955,3.4955,1.28,1.75,31.66,50.31,64.19,278.14,284.8,188.48,54.89,249.55,282.1472,0.00%
23,010115,易方达远见成长混合A,2026-04-27,3.2252,3.2252,1.3,1.82,31.76,50.28,63.87,276.73,270.5,181.97,54.89,222.52,280.6444,0.15%
24,011412,易方达远见成长混合C,2026-04-27,3.1592,3.1592,1.29,1.81,31.71,50.13,63.53,275.2,267.52,178.56,54.69,215.92,279.1192,0.00%
25,001480,财通成长优选混合A,2026-04-27,5.709,5.709,2.18,3.22,32.18,34.87,47.29,262.25,237.81,197.03,43.59,470.9,257.931,0.15%
26,021528,财通成长优选混合C,2026-04-27,3.277,3.277,2.18,3.21,32.14,34.75,47.02,260.51,,,43.41,227.7,256.5832,0.00%
27,006502,财通集成电路产业股票A,2026-04-27,5.6947,5.6947,2.19,3.48,32.77,35.41,47.32,254.24,265.07,222.54,43.96,469.47,250.0553,0.15%
28,006503,财通集成电路产业股票C,2026-04-27,5.3676,5.3676,2.19,3.46,32.69,35.15,46.74,251.42,259.3,214.89,43.6,436.76,247.3051,0.00%
29,008326,东财通信A,2026-04-27,4.123,4.123,1.13,4.48,30.93,40.45,58.27,249.64,286.16,310.33,48.14,312.3,253.0268,0.10%
30,008327,东财通信C,2026-04-27,4.0588,4.0588,1.13,4.47,30.9,40.37,58.07,248.78,284.25,307.26,48.02,305.88,252.1735,0.00%
31,017490,财通景气甄选一年持有期混合A,2026-04-27,3.6208,3.6208,2.22,3.5,32.25,35.8,46.95,248.22,236.07,,43.23,262.08,244.2807,0.15%
32,014915,财通匠心优选一年持有混合A,2026-04-27,2.2443,2.2443,2.2,3.63,32.92,36.54,46.85,247.68,220.29,196.55,44.18,124.43,243.9013,0.15%
33,017491,财通景气甄选一年持有期混合C,2026-04-27,3.5418,3.5418,2.21,3.48,32.17,35.53,46.36,245.44,230.76,,42.87,254.18,241.5429,0.00%
34,014916,财通匠心优选一年持有混合C,2026-04-27,2.1727,2.1727,2.2,3.61,32.82,36.27,46.27,244.93,215.2,189.5,43.81,117.27,241.1368,0.00%
35,001075,宝盈转型动力混合A,2026-04-27,3.5401,3.5401,0.8,3.51,28.31,30.4,44.41,243.43,252.14,320.49,39.29,254.01,246.7966,0.15%
36,006887,诺德新生活混合A,2026-04-27,3.0089,3.0089,1.15,2.96,24.41,27.58,37.98,242.86,244.43,165.64,31.11,200.89,243.9529,0.12%
37,006888,诺德新生活混合C,2026-04-27,3.0002,3.0002,1.15,2.95,24.4,27.54,37.91,242.53,243.7,164.85,31.06,200.02,243.6262,0.00%
38,015389,宝盈转型动力混合C,2026-04-27,3.4709,3.4709,0.8,3.51,28.26,30.25,44.06,241.72,248.66,314.44,39.08,298.86,245.0885,0.00%
39,720001,财通价值动量混合A,2026-04-27,11.342,11.813,1.41,2.07,27.58,29.39,42.92,239.07,202.37,182.98,37.88,1402.75,235.2646,0.15%
40,021523,财通价值动量混合C,2026-04-27,2.949,2.949,1.41,2.08,27.55,29.29,42.67,237.8,,,37.74,194.9,233.9751,0.00%
41,019829,华夏数字产业混合A,2026-04-27,3.7076,3.7076,0.59,4.25,33.1,40.8,52.41,237.3,270.24,,47.19,270.76,235.2867,0.15%
42,019830,华夏数字产业混合C,2026-04-27,3.652,3.652,0.58,4.23,33.03,40.6,51.95,235.23,264.91,,46.89,265.2,233.2421,0.00%
43,162201,宏利成长混合,2026-04-27,6.1317,8.5282,0.42,4.07,32.39,40.08,53.64,231.53,253.86,245.35,48.45,4474.29,231.8019,0.15%
44,020899,天弘中证全指通信设备指数发起A,2026-04-27,3.4283,3.4283,0.97,1.29,25.86,26.84,40.03,231.27,226.63,,30.9,242.83,235.8115,0.10%
45,020900,天弘中证全指通信设备指数发起C,2026-04-27,3.4148,3.4148,0.96,1.28,25.84,26.78,39.89,230.6,225.37,,30.81,241.48,235.1457,0.00%
46,740001,长安宏观策略混合A,2026-04-27,3.522,4.342,0.54,4.67,33.46,46.63,48.42,229.78,187.04,140.25,46.44,476.43,228.8515,0.15%
47,016579,长安宏观策略混合C,2026-04-27,3.459,3.459,0.55,4.66,33.4,46.44,48.07,228.18,183.99,136.59,46.2,164.25,227.2469,0.00%
48,020691,博时中证全指通信设备指数发起式A,2026-04-27,3.2907,3.2907,0.99,1.16,25.32,25.59,39.0,225.81,,,29.67,229.07,230.1595,0.10%
49,020692,博时中证全指通信设备指数发起式C,2026-04-27,3.2785,3.2785,0.99,1.15,25.3,25.53,38.87,225.18,,,29.59,227.85,229.4975,0.00%
50,008555,华商龙头优势混合,2026-04-27,2.3149,2.3149,1.09,2.59,23.74,31.15,51.0,224.26,173.79,140.13,46.62,131.49,223.6717,0.15%
51,001184,易方达新常态灵活配置混合,2026-04-27,1.673,1.673,1.64,4.04,29.09,35.47,49.91,221.73,195.58,185.01,43.85,67.3,222.973,0.15%
