date,nav,daily_return
2018-12-25,1.0,0.0
2018-12-28,1.0002,0.0
2018-12-31,1.0004,0.0
2019-01-04,1.0006,0.0
2019-01-11,1.0009,0.0
2019-01-18,1.0012,0.0
2019-01-23,1.0014,0.0
2019-01-24,1.0015,0.0001
2019-01-25,1.0016,0.0001
2019-01-28,1.0016,0.0
2019-01-29,1.0016,0.0
2019-01-30,1.0016,0.0
2019-01-31,1.0017,0.0001
2019-02-01,1.0024,0.0006990000000000001
2019-02-11,1.0037,0.0012970000000000002
2019-02-12,1.004,0.000299
2019-02-13,1.0049,0.000896
2019-02-14,1.005,0.0001
2019-02-15,1.0041,-0.000896
2019-02-18,1.0065,0.0023899999999999998
2019-02-19,1.0066,9.900000000000001e-05
2019-02-20,1.0092,0.002583
2019-02-21,1.0099,0.0006940000000000001
2019-02-22,1.0128,0.002872
2019-02-25,1.02,0.007109
2019-02-26,1.0169,-0.003039
2019-02-27,1.0138,-0.0030480000000000004
2019-02-28,1.0165,0.002663
2019-03-01,1.0172,0.000689
2019-03-04,1.0192,0.001966
2019-03-05,1.0222,0.002943
2019-03-06,1.0228,0.0005870000000000001
2019-03-07,1.0237,0.0008799999999999999
2019-03-08,1.0199,-0.0037119999999999996
2019-03-11,1.0221,0.002157
2019-03-12,1.0228,0.0006850000000000001
2019-03-13,1.0232,0.000391
2019-03-14,1.0196,-0.003518
2019-03-15,1.021,0.001373
2019-03-18,1.0234,0.0023510000000000002
2019-03-19,1.0234,0.0
2019-03-20,1.0231,-0.000293
2019-03-21,1.0247,0.001564
2019-03-22,1.0263,0.0015609999999999999
2019-03-25,1.0278,0.001462
2019-03-26,1.0236,-0.004086
2019-03-27,1.0243,0.000684
2019-03-28,1.0221,-0.0021479999999999997
2019-03-29,1.0357,0.013306
2019-04-01,1.0539,0.017573000000000002
2019-04-02,1.0587,0.004555
2019-04-03,1.0662,0.007084
2019-04-04,1.071,0.004502
2019-04-08,1.0611,-0.009244
2019-04-09,1.0564,-0.004429
2019-04-10,1.0532,-0.003029
2019-04-11,1.045,-0.0077859999999999995
2019-04-12,1.0461,0.0010530000000000001
2019-04-15,1.0386,-0.007169
2019-04-16,1.048,0.009051
2019-04-17,1.0475,-0.000477
2019-04-18,1.0486,0.00105
2019-04-19,1.0556,0.006676
2019-04-22,1.0487,-0.006536999999999999
2019-04-23,1.0423,-0.006103
2019-04-24,1.0452,0.002782
2019-04-25,1.0279,-0.016552
2019-04-26,1.021,-0.006713
2019-04-29,1.0085,-0.012242999999999999
2019-04-30,1.0091,0.0005949999999999999
2019-05-06,0.9759,-0.032901
2019-05-07,0.9809,0.005123
2019-05-08,0.9855,0.00469
2019-05-09,0.9842,-0.0013189999999999999
2019-05-10,1.0052,0.021337000000000002
2019-05-13,0.9957,-0.009451000000000001
2019-05-14,0.9963,0.000603
2019-05-15,1.0078,0.011543000000000001
2019-05-16,1.0089,0.001091
2019-05-17,0.9934,-0.015363
2019-05-20,0.9914,-0.002013
2019-05-21,0.9972,0.005849999999999999
2019-05-22,0.996,-0.001203
2019-05-23,0.9902,-0.005823
2019-05-24,0.9863,-0.003939
2019-05-27,0.9932,0.006996
2019-05-28,0.9938,0.000604
2019-05-29,0.9923,-0.0015090000000000001
2019-05-30,0.9853,-0.007054
2019-05-31,0.9834,-0.001928
2019-06-03,0.9757,-0.00783
2019-06-04,0.9674,-0.008507
2019-06-05,0.9662,-0.00124
2019-06-06,0.9599,-0.006520000000000001
2019-06-10,0.966,0.0063549999999999995
2019-06-11,0.9865,0.021221999999999998
2019-06-12,0.9824,-0.004156
2019-06-13,0.9825,0.00010200000000000001
2019-06-14,0.9756,-0.007023000000000001
2019-06-17,0.9752,-0.00041
2019-06-18,0.9765,0.001333
2019-06-19,0.9838,0.007476
2019-06-20,1.0004,0.016873
2019-06-21,1.0072,0.006797
2019-06-24,1.0066,-0.000596
2019-06-25,1.0007,-0.005861
2019-06-26,1.0018,0.001099
2019-06-27,1.0083,0.006488000000000001
2019-06-28,1.0039,-0.004364
2019-06-30,1.0038,0.0
2019-07-01,1.0207,0.016735
2019-07-02,1.0242,0.0034289999999999998
2019-07-03,1.0168,-0.0072250000000000005
2019-07-04,1.0151,-0.0016719999999999999
2019-07-05,1.0157,0.0005909999999999999
2019-07-08,1.001,-0.014473
2019-07-09,1.0035,0.002498
2019-07-10,1.0031,-0.000399
2019-07-11,1.0003,-0.002791
2019-07-12,1.0033,0.002999
2019-07-15,1.0123,0.00897
2019-07-16,1.0109,-0.0013830000000000001
2019-07-17,1.0119,0.000989
2019-07-18,1.0041,-0.0077080000000000004
2019-07-19,1.0089,0.0047799999999999995
2019-07-22,1.0004,-0.008425
2019-07-23,1.009,0.008597
2019-07-24,1.0175,0.008424000000000001
2019-07-25,1.0235,0.005897
2019-07-26,1.0231,-0.000391
2019-07-29,1.0246,0.001466
2019-07-30,1.0304,0.005661
2019-07-31,1.0286,-0.0017469999999999999
2019-08-01,1.0258,-0.002722
