code,annual_return,annual_vol,sharpe,max_drawdown,year_return,data_points
024459,473.42,48.07,9.81,14.11,177.3,146
024460,469.04,48.06,9.72,14.14,176.06,146
024433,241.35,39.38,6.08,15.51,118.33,159
024434,238.77,39.37,6.01,15.54,117.28,159
023765,205.18,37.09,5.48,18.05,197.97,256
024473,260.02,47.27,5.46,13.59,104.9,140
024889,258.11,47.28,5.42,13.61,104.29,140
025421,267.13,49.92,5.31,11.81,93.61,127
025422,264.56,49.89,5.26,11.83,92.92,127
024207,182.29,40.18,4.49,14.12,145.14,216
025208,201.8,47.71,4.19,17.33,91.46,147
025209,199.98,47.71,4.15,17.34,90.78,147
024377,71.99,17.11,4.09,8.37,58.04,211
024378,71.3,17.11,4.05,8.39,57.5,211
024796,143.62,35.22,4.02,10.47,56.64,126
023117,103.5,26.42,3.84,14.14,78.56,204
018210,133.91,34.4,3.83,9.17,59.85,138
018211,132.87,34.4,3.8,9.21,59.46,138
024592,170.12,44.22,3.8,16.27,118.81,197
023118,102.44,26.43,3.8,14.17,77.8,204
024593,169.67,44.21,3.79,16.27,118.52,197
025777,168.45,45.43,3.66,14.34,63.2,124
025778,167.76,45.43,3.65,14.36,62.99,124
021937,118.48,34.07,3.42,17.01,106.53,232
025783,144.76,41.89,3.41,15.02,57.57,127
022717,123.71,35.77,3.4,14.59,151.16,276
024662,146.26,42.54,3.39,13.87,95.52,186
021938,116.98,34.06,3.38,17.03,105.21,232
023638,92.86,26.87,3.38,13.79,121.56,264
024663,145.76,42.54,3.38,13.89,95.23,186
025784,143.27,41.89,3.37,15.04,57.08,127
023639,92.47,26.87,3.37,13.8,121.11,264
022718,122.2,35.77,3.36,14.62,149.63,276
024042,95.21,28.72,3.25,14.38,79.19,218
024043,94.81,28.73,3.23,14.41,78.87,218
022754,70.46,21.45,3.19,13.62,105.31,326
024469,111.46,34.55,3.17,16.29,59.09,155
022755,69.77,21.45,3.16,13.65,104.49,326
024470,109.77,34.56,3.12,16.32,58.3,155
024069,114.05,36.51,3.07,18.74,94.18,218
024070,113.59,36.51,3.06,18.77,93.82,218
025652,118.88,38.26,3.05,11.81,48.41,126
025653,118.18,38.27,3.04,11.83,48.17,126
022327,58.34,19.07,2.95,11.01,73.74,295
022328,57.67,19.07,2.92,11.03,73.06,295
024417,112.15,38.19,2.88,18.95,57.03,150
024418,111.7,38.19,2.87,18.96,56.83,150
023512,24.69,7.9,2.87,4.6,31.75,287
024974,106.53,37.02,2.82,18.13,66.63,176
024975,106.13,37.02,2.81,18.15,66.4,176
023828,94.28,33.54,2.75,18.15,83.25,228
023829,93.87,33.54,2.74,18.18,82.9,228
023926,77.22,27.54,2.73,14.41,66.98,224
023927,76.85,27.54,2.72,14.43,66.67,224
023144,61.64,21.97,2.71,13.69,51.42,216
023145,61.31,21.97,2.7,13.7,51.15,216
025395,108.74,39.78,2.68,17.24,58.28,156
024239,79.66,29.1,2.67,13.55,71.84,231
023313,85.23,31.63,2.63,16.41,45.11,151
023314,84.81,31.63,2.62,16.42,44.91,151
022710,79.41,30.02,2.58,18.96,120.65,342
024804,59.72,23.11,2.5,12.47,41.41,185
024805,58.73,23.1,2.46,12.53,40.76,185
023110,50.55,19.99,2.43,11.92,77.96,316
023832,44.75,18.23,2.35,14.11,45.46,254
023833,44.43,18.22,2.33,14.13,45.13,254
023050,59.47,24.91,2.31,13.89,63.54,259
023051,59.12,24.92,2.29,13.91,63.22,259
023446,61.75,26.35,2.27,14.09,57.76,237
018244,66.52,28.67,2.25,16.19,126.13,403
023447,61.07,26.35,2.24,14.13,57.13,237
018245,65.45,28.66,2.21,16.22,124.72,403
022739,70.95,31.33,2.2,19.92,126.87,334
025415,88.08,39.39,2.19,16.63,46.83,152
022167,55.07,24.52,2.16,16.15,115.22,369
021642,54.36,24.4,2.15,16.13,116.58,389
024110,15.62,6.38,2.14,1.69,11.86,193
019920,49.76,22.41,2.13,17.26,68.31,293
024213,36.51,16.3,2.12,11.6,33.48,232
022105,27.24,11.98,2.11,7.97,28.6,397
020553,67.83,31.41,2.1,18.41,92.11,475
024077,38.17,17.27,2.09,11.48,27.19,186
025541,59.86,27.76,2.08,12.71,28.11,132
020554,67.17,31.4,2.08,18.47,91.47,475
023928,30.92,14.01,2.06,9.46,30.04,256
024111,15.17,6.38,2.06,1.75,11.52,193
